# Title: Precious Metals in SDSS Quasar Spectra I: Tracking the Evolution 
#        of Strong, 1.5 < z < 4.5 C IV Absorbers with Thousands of Systems  
# Authors: Cooksey K.L., Kao M.M., Simcoe R.A., O'Meara J.M., Prochaska J.X. 
# Table: C IV System Summary
# ================================================================================
# Byte-by-byte Description of file: apj453982t3_mrt.txt
# --------------------------------------------------------------------------------
#   Bytes Format Units    Label   Explanations
# --------------------------------------------------------------------------------
#   1-  1 I1     ---      Code    System code (1)
#   3- 16 A14    ---      QSO     Adopted QSO identifier (2)
#  18- 23 F6.4   ---      zQSO    QSO redshift (3) 
#  25- 31 F7.5   ---      zCIV    C IV 1548 line redshift
#  33- 37 F5.3   0.1nm    W1548   Rest equivalent width of 1548 line 
#  39- 43 F5.3   0.1nm  e_W1548   Uncertainty in W1548
#  45- 49 F5.3   0.1nm    W1550    Rest equivalent width of 1550 line
#  51- 55 F5.3   0.1nm  e_W1550   Uncertainty in W1550
#  57- 61 F5.3   ---      CW1548  Completeness fraction (4)
#  63- 67 F5.3   ---    e_CW1548  Uncertainty in CW1548
#      69 A1     ---    f_logCIV  Flag on logCIV (5)
#  71- 75 F5.2   [cm-2]   logCIV  ? Log C IV column density (6)
#  77- 80 F4.2   [cm-2] e_logCIV  Uncertainty in logCIV
#  82- 83 I2     ---      fN      Binary column density flag (7)
# --------------------------------------------------------------------------------
# Note (1): 
#    1 = Intervening ({delta} v_#1_ QSO {<} -5000 km/s), not in Visual BAL QSO
#        Sightlines.
#    2 = Intrinsic ({delta} v_#1_ QSO {>=} -5000 km/s).
#    3 = In Visual BAL QSO Sightlines.
# Note (2): From the spectroscopic modified Julian date, plate, and fiber number.
# Note (3): From the DR7 QSO catalog (Schneider et al. 2010).
# Note (4): For the doublet from the whole survey average.
# Note (5): 
#    > = Upper limit;
#    < = Lower limit;
#    ? = Lower limit (due to rest equivalent width ratio) and upper limit
#        (due to low-S/N measurement).
# Note (6): This is the combined value from the AODM measurements in both lines.
#          A blank indicates a "-NaN" value.
# Note (7): 
#    1 = good to analyze;
#    2 = lower limit;
#    4 = upper limit;
#    8 = un-weighted average;
#   16 = default to line value with greater significance. 
# --------------------------------------------------------------------------------
1 54327-2630-073 2.7944 2.69476 0.952 0.152 1.218 0.143 0.831 0.074 > 14.55 0.07  3
1 52141-0651-494 1.9516 1.58305 0.843 0.126 1.284 0.143 0.784 0.086 > 14.59 0.05  3
1 52141-0651-494 1.9516 1.76708 1.125 0.101 0.797 0.104 0.870 0.018 > 14.64 0.04  3
1 52519-0686-082 2.6195 2.16588 1.072 0.172 1.206 0.189 0.863 0.053 > 14.61 0.07  3
1 52519-0686-503 2.1214 1.78791 0.858 0.138 0.783 0.096 0.792 0.091 > 14.51 0.07  3
1 52251-0751-016 3.1506 2.99829 0.632 0.135 0.508 0.114 0.625 0.155 > 14.24 0.11  3
1 51793-0388-114 3.1518 2.62150 0.553 0.086 0.293 0.068 0.549 0.121   14.06 0.14  1
1 51793-0388-114 3.1518 2.66032 0.569 0.091 0.501 0.089 0.564 0.121 > 14.25 0.07  3
1 51793-0388-114 3.1518 2.90966 0.412 0.063 0.371 0.088 0.342 0.099 > 13.99 0.13  3
1 52519-0686-561 3.1060 3.02949 1.337 0.084 1.318 0.070 0.898 0.001 > 14.88 0.03  3
1 52251-0751-632 1.7322 1.52870 0.643 0.164 0.497 0.140 0.636 0.191 > 14.23 0.13  3
1 52251-0752-240 2.5221 2.35519 0.784 0.089 0.660 0.104 0.747 0.068 > 14.43 0.05  3
1 52519-0686-004 3.6038 3.15486 0.571 0.134 0.811 0.149 0.566 0.185 > 14.68 0.10  3
1 52519-0686-586 1.8591 1.54773 0.986 0.203 0.815 0.212 0.841 0.094 > 14.54 0.13  3
1 52994-1490-624 2.6156 2.28867 0.351 0.069 0.188 0.054 0.247 0.085   13.95 0.10  1
1 52994-1490-624 2.6156 2.51701 0.694 0.082 0.425 0.091 0.679 0.073   14.32 0.06  1
1 52251-0752-220 3.1866 3.02189 1.260 0.138 0.714 0.153 0.897 0.028   14.70 0.10  1
1 51793-0388-624 2.1638 1.76889 0.531 0.105 0.494 0.135 0.519 0.153 > 14.10 0.13  3
1 51793-0388-624 2.1638 2.02462 0.686 0.080 0.852 0.095 0.672 0.072 > 14.46 0.06  3
1 51793-0388-624 2.1638 2.03413 1.093 0.097 1.035 0.110 0.866 0.022 > 14.63 0.04  3
1 52251-0752-202 2.2099 1.71629 0.535 0.118 0.536 0.105 0.525 0.173 > 14.48 0.11  3
1 52138-0652-437 2.1644 2.07713 0.630 0.084 0.557 0.088 0.623 0.083 > 14.33 0.05  3
1 52251-0752-511 2.1742 2.05312 0.507 0.105 0.483 0.095 0.484 0.158 > 14.21 0.07  3
1 52996-1491-128 2.7182 2.24514 0.389 0.084 0.430 0.075 0.307 0.116 > 14.13 0.08  3
1 52251-0752-531 3.2112 2.66519 0.575 0.103 0.394 0.090 0.570 0.135 > 14.22 0.09  3
1 52251-0752-531 3.2112 2.71903 0.632 0.098 0.575 0.105 0.625 0.102 > 14.29 0.07  3
1 52518-0687-471 3.6867 3.01352 0.591 0.073 0.401 0.080 0.586 0.085 > 14.27 0.06  3
1 51795-0389-178 2.0876 1.71344 0.657 0.082 0.569 0.103 0.648 0.078 > 14.38 0.05  3
1 51795-0389-178 2.0876 1.96961 2.055 0.080 2.081 0.080 0.898 0.011 > 15.01 0.02  3
1 51795-0389-178 2.0876 2.02847 0.639 0.070 0.625 0.073 0.632 0.068 > 14.35 0.04  3
1 51795-0389-567 3.0384 2.78721 0.678 0.223 1.352 0.264 0.666 0.256 > 14.98 0.11  3
1 52518-0687-095 2.2505 1.93536 0.680 0.141 0.889 0.165 0.667 0.138 > 14.39 0.09  3
1 51900-0390-331 1.7559 1.69851 0.550 0.065 0.434 0.064 0.545 0.094 > 14.19 0.07  3
1 52251-0752-044 1.8079 1.61253 0.387 0.052 0.254 0.053 0.303 0.076 > 13.97 0.08  3
1 52251-0752-044 1.8079 1.67713 0.387 0.052 0.188 0.047 0.303 0.076   13.93 0.09  1
1 51795-0389-611 1.9003 1.58730 1.058 0.192 0.801 0.240 0.861 0.066 > 14.52 0.12  3
1 52996-1491-623 2.1170 1.90157 0.911 0.127 0.971 0.133 0.814 0.067 > 14.49 0.06  3
1 52233-0753-338 2.2708 2.04603 0.640 0.063 0.435 0.065 0.632 0.061 > 14.23 0.06  3
1 51900-0390-365 2.2998 1.96694 0.806 0.060 0.765 0.053 0.761 0.039 > 14.50 0.03  3
1 51900-0390-365 2.2998 1.98818 0.424 0.062 0.342 0.077 0.361 0.098 > 14.06 0.07  3
1 51900-0390-365 2.2998 2.00698 0.527 0.049 0.458 0.054 0.512 0.071 > 14.23 0.05  3
1 51900-0390-365 2.2998 2.02030 0.493 0.062 0.348 0.062 0.465 0.091 > 14.09 0.07  3
1 52233-0753-387 2.0087 1.62572 0.946 0.048 0.753 0.054 0.829 0.020 > 14.56 0.02  3
1 52233-0753-387 2.0087 1.87272 0.921 0.041 0.723 0.040 0.818 0.017 > 14.53 0.02  3
1 52233-0753-387 2.0087 1.93800 0.502 0.039 0.294 0.041 0.477 0.057 > 14.14 0.03  3
1 51900-0390-234 1.9267 1.83533 0.768 0.075 0.604 0.066 0.737 0.059 > 14.39 0.04  3
1 52233-0753-430 1.7633 1.65205 0.474 0.088 0.400 0.091 0.436 0.135 > 14.16 0.09  3
1 52233-0753-378 3.6978 3.25984 0.468 0.100 0.451 0.119 0.428 0.154 > 14.18 0.09  3
1 52233-0753-378 3.6978 3.56481 1.690 0.113 1.524 0.134 0.928 0.017 > 14.88 0.04  3
1 52233-0753-259 2.4243 2.19480 0.263 0.065 0.296 0.065 0.139 0.059 > 13.92 0.10  3
1 53321-1913-418 2.4232 1.92601 0.379 0.101 0.461 0.108 0.291 0.134 ? 14.01 0.15  7
1 53321-1913-418 2.4232 2.14739 0.959 0.111 0.736 0.133 0.833 0.046 > 14.54 0.06  3
1 53321-1913-418 2.4232 2.22307 0.683 0.128 0.451 0.110 0.670 0.120 > 14.30 0.10  3
