# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII wlim_Chicago Wobs_MgII grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
       829-360-52296 0.858480 0.842086 0.160884 0.220000 5197.053472  D    M 2.762100 0.842086 0.160884
       829-360-52296 1.058900 1.618826 0.373986 0.240000 5757.507960  D    M 2.762100 1.618826 0.373986
       829-360-52296 1.477370 0.444019 0.109390 0.160000 6927.717468  B    M 2.762100 0.444019 0.109390
       829-612-52296 0.783550 0.687393 0.167643 0.190000 4987.519220  D    M 2.393100 0.687393 0.167643
       829-198-52296 0.421570 0.984123 0.132952 0.150000 3975.278348  C    M 2.214200 0.984123 0.132952
       829-451-52296 1.481500 0.555309 0.111223 0.150000 6939.266600  D    M 1.589400 0.555309 0.111223
       829-451-52296 1.485010 0.800802 0.144466 0.150000 6949.081964  D    M 1.589400 0.800802 0.144466
       829-451-52296 1.490030 0.376702 0.085943 0.150000 6963.119892  D    M 1.589400 0.376702 0.085943
       829-414-52296 1.779540 0.690042 0.159379 0.200000 7772.705656  C    M 1.888500 0.690042 0.159379
       829-414-52296 1.796450 1.303796 0.275707 0.200000 7819.992780  A    M 1.888500 1.303796 0.275707
        829-48-52296 1.144660 1.013214 0.165994 0.200000 5997.327224  C    M 3.564100 1.013214 0.165994
       829-446-52296 1.806860 1.373777 0.275040 0.170000 7849.103304 C*    M 1.888200 1.373777 0.275040
       829-446-52296 1.813960 1.155311 0.188347 0.170000 7868.957744  A   MF 1.888200 1.155311 0.188347
        829-87-52296 1.148770 0.654793 0.144734 0.230000 6008.820428 C*    M 2.093300 0.654793 0.144734
      1199-511-52703 1.852140 0.620587 0.098873 0.200000 7975.724296  A   MF 3.082500 0.620587 0.098873
      1199-223-52703 1.452290 2.202431 0.247524 0.240000 6857.583756  C    M 4.144600 2.202431 0.247524
      1199-606-52703 1.274050 3.191662 0.458213 0.300000 6359.153420  C    M 1.386700 3.191662 0.458213
      1199-502-52703 0.589070 0.324089 0.078033 0.190000 4443.675348  D    M 2.024500 0.324089 0.078033
       1199-59-52703 1.095910 0.721882 0.140750 0.140000 5861.002724  D    M 1.184300 0.721882 0.140750
      1199-299-52703 0.768080 0.449075 0.109724 0.240000 4944.258912  D    M 0.978000 0.449075 0.109724
       1199-28-52703 1.336200 0.392090 0.071912 0.160000 6532.949680 E*    M 1.738700 0.392090 0.071912
      1199-211-52703 1.608030 0.845082 0.187498 0.220000 7293.095092  C    M 1.884000 0.845082 0.187498
      1199-634-52703 0.589330 0.756923 0.153524 0.450000 4444.402412  D    M 1.370600 0.756923 0.153524
      1199-104-52703 1.864750 1.383716 0.187451 0.220000 8010.986900  D    M 1.862000 1.383716 0.187451
      1199-538-52703 1.598000 1.508853 0.192456 0.250000 7265.047200  C    M 1.656000 1.508853 0.192456
        1199-8-52703 1.979780 1.411849 0.108733 0.190000 8332.656792  A    M 2.213400 1.411849 0.108733
      1199-204-52703 1.799690 1.485879 0.197165 0.240000 7829.053116  C    M 1.952800 1.485879 0.197165
        1015-9-52734 0.930560 1.390788 0.275050 0.300000 5398.617984  D    M 1.996400 1.390788 0.275050
        1015-9-52734 1.502190 0.813288 0.165455 0.310000 6997.124116  D    M 1.996400 0.813288 0.165455
        1015-9-52734 1.664330 2.424249 0.238334 0.310000 7450.532412  B    M 1.996400 2.424249 0.238334
        1015-9-52734 1.772100 2.899607 0.355326 0.310000 7751.900440  E    M 1.996400 2.899607 0.355326
        1015-9-52734 1.780180 2.025408 0.215094 0.310000 7774.495352  B    M 1.996400 2.025408 0.215094
      1015-630-52734 1.069310 0.443143 0.090368 0.230000 5786.618484  D    M 3.081200 0.443143 0.090368
        1015-5-52734 0.945490 0.344900 0.042663 0.170000 5440.368236  B    M 1.051800 0.344900 0.042663
      1015-600-52734 0.520420 1.102985 0.214414 0.330000 4251.702488  D    M 2.279800 1.102985 0.214414
       1015-85-52734 0.516890 1.621739 0.218210 0.310000 4241.831196  C    M 0.530400 1.621739 0.218210
      1015-636-52734 1.599390 1.154502 0.242365 0.280000 7268.934196  D    M 1.755600 1.154502 0.242365
      1015-132-52734 0.717180 0.539839 0.121129 0.150000 4801.922152  D    M 1.164400 0.539839 0.121129
      1015-539-52734 1.364190 0.959314 0.204298 0.260000 6611.220916  E    M 1.500700 0.959314 0.204298
      1015-539-52734 1.370700 0.699371 0.169570 0.260000 6629.425480  D    M 1.500700 0.699371 0.169570
      1015-492-52734 1.858680 0.930849 0.167210 0.160000 7994.012752  C    M 1.917800 0.930849 0.167210
      1015-181-52734 0.877300 0.759069 0.114526 0.120000 5249.681720  E    M 3.245200 0.759069 0.114526
      1015-181-52734 1.838500 1.196407 0.283953 0.180000 7937.581400  D    M 3.245200 1.196407 0.283953
       1015-64-52734 0.821750 1.455743 0.130644 0.180000 5094.341700  C    M 2.858300 1.455743 0.130644
       1015-64-52734 0.826610 1.039083 0.123726 0.180000 5107.932204  C    M 2.858300 1.039083 0.123726
       1015-64-52734 1.089770 3.097470 0.344057 0.210000 5843.832828  E    M 2.858300 3.097470 0.344057
       1015-64-52734 1.094590 2.856406 0.332762 0.210000 5857.311476  C    M 2.858300 2.856406 0.332762
       615-585-52347 0.585290 1.494995 0.184193 0.210000 4433.104956  C    M 2.592700 1.494995 0.184193
       615-338-52347 1.279240 0.355382 0.079851 0.210000 6373.666736  D    M 1.572500 0.355382 0.079851
       615-338-52347 1.466890 0.650617 0.157283 0.210000 6898.411196 C*    M 1.572500 0.650617 0.157283
        615-52-52347 1.175330 0.626572 0.106650 0.510000 6083.092812  D    M 1.419100 0.626572 0.106650
       615-233-52347 0.463890 1.672257 0.412599 0.530000 4093.621996  D    M 1.951500 1.672257 0.412599
         615-2-52347 0.381170 1.057799 0.263545 0.580000 3862.303788  D    M 1.750500 1.057799 0.263545
         615-2-52347 0.501970 1.037304 0.246343 0.580000 4200.108908 C*    M 1.750500 1.037304 0.246343
