# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII wlim_Chicago Wobs_MgII grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
      1770-584-53171 0.386510 0.612329 0.122610 0.210000 3877.236564  E    M 1.524800 0.612329 0.122610
      1770-165-53171 1.857490 3.244106 0.236221 0.370000 7990.685036  A   MC 1.846100 3.244106 0.236221
       1770-60-53171 0.379370 1.740650 0.266788 0.310000 3857.270268  D    M 2.090400 1.740650 0.266788
      1770-556-53171 0.695110 0.532709 0.080821 0.250000 4740.205604  C    M 2.077600 0.532709 0.080821
      1770-556-53171 2.078820 1.532080 0.124723 0.170000 8609.612248  A   CF 2.077600 1.532080 0.124723
      1770-576-53171 1.502870 0.394747 0.097888 0.270000 6999.025668  C    M 1.765000 0.394747 0.097888
       930-636-52618 0.621950 0.335399 0.070286 0.150000 4535.620980  C    M 1.261600 0.335399 0.070286
       930-636-52618 0.648620 0.439155 0.104936 0.150000 4610.200968 C*    M 1.261600 0.439155 0.104936
       930-636-52618 1.212920 0.380493 0.080437 0.150000 6188.209488  B    M 1.261600 0.380493 0.080437
       930-326-52618 0.652070 0.848027 0.185827 0.220000 4619.848548  D    M 2.081500 0.848027 0.185827
       930-326-52618 0.768850 0.988778 0.188823 0.210000 4946.412140  D    M 2.081500 0.988778 0.188823
       930-304-52618 1.632490 0.778351 0.178538 0.160000 7361.495036  D    M 1.712000 0.778351 0.178538
       930-291-52618 1.430980 0.582892 0.132457 0.240000 6797.992472  C    M 1.571800 0.582892 0.132457
       930-291-52618 1.438850 0.561740 0.137770 0.240000 6820.000140  D    M 1.571800 0.561740 0.137770
       930-107-52618 1.874960 2.984737 0.077566 0.090000 8039.538144  A  MCF 1.883600 2.984737 0.077566
        930-23-52618 0.414890 1.229071 0.139940 0.310000 3956.598396  C    M 1.561800 1.229071 0.139940
       930-593-52618 1.447350 1.414591 0.166711 0.130000 6843.769540  C    M 4.257100 1.414591 0.166711
       930-125-52618 1.767890 0.346835 0.082012 0.110000 7740.127596  B    M 1.806500 0.346835 0.082012
       930-105-52618 0.603770 3.971891 0.582378 0.280000 4484.782428  C    M 1.913200 3.971891 0.582378
       930-152-52618 1.181980 0.408803 0.057287 0.170000 6101.688872  E    M 2.953800 0.408803 0.057287
       930-152-52618 1.184000 1.149267 0.083791 0.170000 6107.337600  C    M 2.953800 1.149267 0.083791
       930-152-52618 1.187890 0.402671 0.058961 0.170000 6118.215596  C    M 2.953800 0.402671 0.058961
       930-191-52618 1.633110 1.458352 0.251414 0.250000 7363.228804  C    M 1.769000 1.458352 0.251414
       930-191-52618 1.636720 1.305030 0.299235 0.250000 7373.323808 C*    M 1.769000 1.305030 0.299235
       930-191-52618 1.644580 1.332915 0.185285 0.250000 7395.303512  B    M 1.769000 1.332915 0.185285
       930-437-52618 1.451300 0.220291 0.045282 0.120000 6854.815320  D    M 1.738100 0.220291 0.045282
       930-228-52618 0.411980 0.742928 0.138104 0.140000 3948.460872  C    M 2.198600 0.742928 0.138104
       930-460-52618 0.407120 0.231679 0.048326 0.060000 3934.870368  C    M 0.923400 0.231679 0.048326
       930-187-52618 1.263630 0.369760 0.092330 0.150000 6330.014932  E    M 1.869800 0.369760 0.092330
       930-187-52618 1.269490 0.418596 0.104429 0.150000 6346.401836  D    M 1.869800 0.418596 0.104429
       930-187-52618 1.338300 0.204850 0.036779 0.150000 6538.822120  C    M 1.869800 0.204850 0.036779
       930-187-52618 1.861360 2.820687 0.263511 0.150000 8001.507104  A   CF 1.869800 2.820687 0.263511
        930-60-52618 0.635030 0.622619 0.123545 0.150000 4572.197892  C    M 0.628300 0.622619 0.123545
        930-60-52618 0.639140 0.361775 0.074429 0.150000 4583.691096  D    M 0.628300 0.361775 0.074429
      1343-611-52790 1.480750 1.232692 0.165273 0.260000 6937.169300  C    M 1.635600 1.232692 0.165273
      1343-611-52790 1.483350 0.656371 0.126442 0.260000 6944.439940  C    M 1.635600 0.656371 0.126442
       1343-66-52790 1.008000 0.394422 0.088147 0.180000 5615.171200 C*    M 2.470300 0.394422 0.088147
       1343-66-52790 2.179930 1.267323 0.140569 0.220000 8892.356252  A    F 2.470300 1.267323 0.140569
      1343-567-52790 0.942570 0.455582 0.110678 0.170000 5432.202748  D    M 0.996800 0.455582 0.110678
      1343-433-52790 1.381250 0.696693 0.135223 0.290000 6658.927500  C    M 1.696900 0.696693 0.135223
      1343-591-52790 0.873090 0.893177 0.200204 0.330000 5237.908876  B    M 2.039400 0.893177 0.200204
      1343-488-52790 0.384470 0.961379 0.234747 0.340000 3871.531908  C    M 1.742100 0.961379 0.234747
      1343-488-52790 0.517150 5.669182 0.201035 0.340000 4242.558260  C    M 1.742100 5.669182 0.201035
      1343-488-52790 1.672740 0.585167 0.123095 0.150000 7474.050136  A   MC 1.742100 0.585167 0.123095
      1343-296-52790 1.379480 0.491284 0.085733 0.140000 6653.977872  C    M 1.589800 0.491284 0.085733
      1343-404-52790 1.235230 1.102347 0.165084 0.200000 6250.597172  E    M 1.351500 1.102347 0.165084
      1343-152-52790 0.965070 0.456472 0.113482 0.150000 5495.121748  D    M 1.507700 0.456472 0.113482
      1343-495-52790 1.236790 1.014400 0.219064 0.250000 6254.959556  D    M 1.464400 1.014400 0.219064
      1343-394-52790 1.627070 0.479241 0.113054 0.110000 7346.338548  C    M 1.983000 0.479241 0.113054
      1343-543-52790 0.664900 0.597633 0.114121 0.170000 4655.726360  D    M 2.704900 0.597633 0.114121
      1343-543-52790 1.738350 0.813629 0.165063 0.220000 7657.521940 C*    M 2.704900 0.813629 0.165063
       743-554-52262 0.991750 0.664240 0.139576 0.250000 5569.729700  C    M 1.053800 0.664240 0.139576
         743-9-52262 1.798260 1.765740 0.374518 0.260000 7825.054264  D    M 1.991100 1.765740 0.374518
       743-219-52262 0.787570 1.027652 0.141533 0.160000 4998.760748  D    M 1.337000 1.027652 0.141533
       743-219-52262 0.847870 0.592033 0.128256 0.160000 5167.383668  C    M 1.337000 0.592033 0.128256
       743-517-52262 0.544150 2.000453 0.364602 0.400000 4318.061060 C*    M 1.762700 2.000453 0.364602
       743-517-52262 0.855740 0.418701 0.090530 0.400000 5189.391336  D    M 1.762700 0.418701 0.090530
       743-337-52262 0.513770 0.695614 0.099751 0.100000 4233.106428  D    M 1.121300 0.695614 0.099751
       743-337-52262 0.561040 0.334392 0.082637 0.100000 4365.292256  D    M 1.121300 0.334392 0.082637
       743-337-52262 0.673710 0.909955 0.142797 0.100000 4680.362644  A    M 1.121300 0.909955 0.142797
       743-337-52262 0.731860 0.378206 0.086612 0.100000 4842.973304  C    M 1.121300 0.378206 0.086612
       743-337-52262 0.739570 0.718568 0.097150 0.100000 4864.533548  B    M 1.121300 0.718568 0.097150
       743-337-52262 0.866510 0.328956 0.067506 0.100000 5219.508564  B    M 1.121300 0.328956 0.067506
       743-337-52262 0.938030 0.192463 0.046439 0.100000 5419.507092  A    M 1.121300 0.192463 0.046439
       743-337-52262 1.050280 0.126812 0.028777 0.100000 5733.402992  A    M 1.121300 0.126812 0.028777
       743-337-52262 1.117460 2.377849 0.110982 0.100000 5921.265144  A    M 1.121300 2.377849 0.110982
       743-216-52262 0.798290 0.812995 0.192405 0.270000 5028.738156  D    M 1.211700 0.812995 0.192405
       743-110-52262 0.825790 0.490746 0.108446 0.260000 5105.639156  D    M 1.286400 0.490746 0.108446
      1399-206-53172 0.389030 1.059732 0.206619 0.380000 3884.283492  D    M 1.507100 1.059732 0.206619
      1399-206-53172 1.516010 0.619234 0.088235 0.250000 7035.770364  C    M 1.507100 0.619234 0.088235
      1399-554-53172 0.462310 2.225246 0.443818 0.320000 4089.203684  C    M 1.712800 2.225246 0.443818
      1399-214-53172 0.390020 2.481979 0.414383 0.570000 3887.051928  C    M 1.517900 2.481979 0.414383
       1399-32-53172 1.471270 1.329681 0.223772 0.320000 6910.659428  B    M 2.158400 1.329681 0.223772
      1399-168-53172 0.912670 0.343499 0.061171 0.150000 5348.590388  D    M 2.196400 0.343499 0.061171
       1399-61-53172 0.523590 0.560518 0.116829 0.490000 4260.567076  D    M 0.568100 0.560518 0.116829
       1399-13-53172 0.410060 2.508404 0.501397 0.440000 3943.091784  C    M 0.526300 2.508404 0.501397
      1399-210-53172 0.850180 2.797566 0.155120 0.130000 5173.843352  C    M 2.756700 2.797566 0.155120
      1399-210-53172 0.854570 1.845172 0.141273 0.130000 5186.119548  C    M 2.756700 1.845172 0.141273
      1399-210-53172 0.917020 2.300445 0.488258 0.160000 5360.754728  C    M 2.756700 2.300445 0.488258
      1399-210-53172 0.921440 1.339620 0.225872 0.160000 5373.114816  E    M 2.756700 1.339620 0.225872
      1399-210-53172 1.043050 3.981792 0.359756 0.160000 5713.185020  C    M 2.756700 3.981792 0.359756
      1399-210-53172 1.045190 3.930686 0.349601 0.160000 5719.169316 C*    M 2.756700 3.930686 0.349601
      1399-210-53172 1.050610 4.329443 0.181897 0.160000 5734.325804  C    M 2.756700 4.329443 0.181897
      1399-521-53172 1.629740 2.796094 0.184049 0.300000 7353.804936  A  MCF 1.633400 2.796094 0.184049
       1399-40-53172 0.688880 0.516911 0.087040 0.130000 4722.784032  C    M 2.112000 0.516911 0.087040
       946-421-52407 1.356220 1.707820 0.365840 0.300000 6588.933608  C    M 3.825700 1.707820 0.365840
       946-436-52407 0.633500 0.509948 0.102847 0.150000 4567.919400 E*    M 2.630200 0.509948 0.102847
       946-319-52407 0.395890 2.808244 0.531561 0.570000 3903.466796  C    M 2.033300 2.808244 0.531561
       946-319-52407 0.554160 1.250193 0.252226 0.360000 4346.053024 C*    M 2.033300 1.250193 0.252226
       946-319-52407 0.676660 4.446340 0.340558 0.360000 4688.612024  C    M 2.033300 4.446340 0.340558
       946-319-52407 1.194930 1.528523 0.215952 0.190000 6137.902252  C    M 2.033300 1.528523 0.215952
       946-319-52407 1.202060 0.626232 0.129424 0.190000 6157.840584  C    M 2.033300 0.626232 0.129424
       946-319-52407 1.283710 0.502253 0.123483 0.190000 6386.166644  C    M 2.033300 0.502253 0.123483
       946-267-52407 1.272210 0.176920 0.025526 0.140000 6354.008044  B    M 1.283600 0.176920 0.025526
       946-321-52407 0.556770 0.409181 0.097638 0.110000 4353.351628  D    M 1.151600 0.409181 0.097638
       946-502-52407 1.383120 1.049045 0.124207 0.240000 6664.156768  A   MF 2.373200 1.049045 0.124207
       946-330-52407 0.636270 0.108173 0.023224 0.070000 4575.665428  C    M 1.968500 0.108173 0.023224
       946-330-52407 0.666780 0.103193 0.020999 0.070000 4660.983592  B    M 1.968500 0.103193 0.020999
       946-343-52407 1.228960 0.506514 0.079409 0.120000 6233.063744  C    M 1.429000 0.506514 0.079409
       946-365-52407 0.426920 1.516553 0.283127 0.260000 3990.239088  D    M 2.120300 1.516553 0.283127
       946-365-52407 0.794020 0.488289 0.107580 0.220000 5016.797528 C*    M 2.120300 0.488289 0.107580
       946-586-52407 0.927830 1.300945 0.061209 0.130000 5390.983812  C    M 0.940300 1.300945 0.061209
        946-24-52407 1.583090 1.097136 0.072007 0.210000 7223.352876  B    M 1.985800 1.097136 0.072007
        946-24-52407 1.826250 0.906502 0.142592 0.210000 7903.325500  B    M 1.985800 0.906502 0.142592
       946-541-52407 1.233310 1.867631 0.067613 0.200000 6245.228084  A   MF 1.249900 1.867631 0.067613
        946-27-52407 1.409910 4.952052 0.717039 0.160000 6739.072324  E    M 4.455800 4.952052 0.717039
        946-27-52407 1.453210 3.976423 0.354230 0.250000 6860.156444  E    M 4.455800 3.976423 0.354230
       946-497-52407 1.311280 0.366031 0.067928 0.120000 6463.263392  C    M 3.650700 0.366031 0.067928
       946-497-52407 1.480100 0.256038 0.052417 0.100000 6935.351640 C*    M 3.650700 0.256038 0.052417
       946-497-52407 1.485080 0.276852 0.063982 0.100000 6949.277712  B    M 3.650700 0.276852 0.063982
       946-497-52407 1.572020 5.077332 0.098755 0.100000 7192.396728 C*    M 3.650700 5.077332 0.098755
       946-198-52407 0.743510 1.110977 0.164037 0.260000 4875.551364  B    M 1.778200 1.110977 0.164037
       946-198-52407 1.448230 0.278160 0.057184 0.230000 6846.230372  D    M 1.778200 0.278160 0.057184
       668-573-52162 0.657760 1.429037 0.357108 0.240000 4635.760064  B    M 2.073200 1.429037 0.357108
       668-547-52162 0.605960 1.722334 0.252186 0.150000 4490.906544  E    M 2.009500 1.722334 0.252186
       668-565-52162 1.133900 0.963025 0.161676 0.150000 5967.237960  C    M 1.772300 0.963025 0.161676
       668-163-52162 0.801260 0.903812 0.222622 0.210000 5037.043464  C    M 2.325400 0.903812 0.222622
       668-260-52162 1.118890 0.326586 0.069376 0.090000 5925.263996  D    M 3.738700 0.326586 0.069376
       668-260-52162 1.499510 3.779141 0.088817 0.080000 6989.629764  C    M 3.738700 3.779141 0.088817
       668-218-52162 0.565200 0.953872 0.105418 0.150000 4376.925280  D    M 1.883900 0.953872 0.105418
       668-218-52162 0.946280 0.301601 0.064739 0.110000 5442.577392  B    M 1.883900 0.301601 0.064739
       668-339-52162 0.406650 2.270643 0.422280 0.470000 3933.556060  D    M 1.221100 2.270643 0.422280
       668-339-52162 0.415280 2.299898 0.474818 0.470000 3957.688992  D    M 1.221100 2.299898 0.474818
       668-339-52162 0.627970 0.571264 0.108110 0.270000 4552.455308  D    M 1.221100 0.571264 0.108110
       668-324-52162 1.267460 0.583913 0.145978 0.250000 6340.725144  D    M 2.195000 0.583913 0.145978
       668-324-52162 1.716760 1.629515 0.344896 0.250000 7597.147664  D    M 2.195000 1.629515 0.344896
       668-324-52162 2.098870 1.871327 0.394660 0.250000 8665.680068  A   CF 2.195000 1.871327 0.394660
       668-256-52162 0.646340 0.911719 0.102652 0.220000 4603.825176  C    M 0.647700 0.911719 0.102652
       668-297-52162 1.028110 1.212952 0.184901 0.270000 5671.406804  D    M 3.071500 1.212952 0.184901
       668-297-52162 1.123380 1.066696 0.203920 0.270000 5937.819832  D    M 3.071500 1.066696 0.203920
       668-297-52162 1.854910 2.814800 0.521908 0.360000 7983.470324  C    M 3.071500 2.814800 0.521908
       668-297-52162 1.873030 0.714925 0.138530 0.360000 8034.141092  D    M 3.071500 0.714925 0.138530
       668-227-52162 0.527190 1.269652 0.271086 0.240000 4270.634116  D    M 0.876900 1.269652 0.271086
       668-193-52162 0.775570 2.282647 0.269773 0.140000 4965.203948  E    M 2.566600 2.282647 0.269773
       668-193-52162 1.291830 0.268345 0.066759 0.090000 6408.873412 C*    M 2.566600 0.268345 0.066759
       668-546-52162 0.523630 1.245709 0.150955 0.310000 4260.678932  C    M 2.060600 1.245709 0.150955
       668-546-52162 1.537400 0.516671 0.120202 0.180000 7095.585360  A   MC 2.060600 0.516671 0.120202
       470-638-51929 0.398190 0.770282 0.138036 0.340000 3909.898516  D    M 1.463500 0.770282 0.138036
       470-301-51929 0.714560 0.488755 0.121314 0.280000 4794.595584 C*    M 0.920900 0.488755 0.121314
       470-301-51929 0.921220 0.517380 0.111388 0.280000 5372.499608  D    M 0.920900 0.517380 0.111388
        470-61-51929 1.457230 0.929502 0.159936 0.230000 6871.397972  D    M 2.488600 0.929502 0.159936
       470-400-51929 1.777830 1.336295 0.277915 0.310000 7767.923812  D    M 1.905400 1.336295 0.277915
       470-482-51929 1.841100 1.419169 0.330506 0.390000 7944.852040  D    M 2.031100 1.419169 0.330506
       470-622-51929 0.754310 1.094447 0.150487 0.270000 4905.752484  C    M 2.184400 1.094447 0.150487
       659-187-52199 0.584830 1.711856 0.220844 0.700000 4431.818612 E*    M 1.863900 1.711856 0.220844
       659-209-52199 0.419700 0.565612 0.125379 0.130000 3970.049080  C    M 0.467900 0.565612 0.125379
         659-8-52199 1.055080 0.926485 0.095373 0.230000 5746.825712  B    M 1.049000 0.926485 0.095373
       659-265-52199 0.400570 0.589760 0.113525 0.250000 3916.553948  D    M 0.691200 0.589760 0.113525
         659-5-52199 0.943360 0.643730 0.071011 0.120000 5434.411904  D    M 1.181500 0.643730 0.071011
       659-457-52199 1.051170 0.746891 0.135045 0.210000 5735.891788  D    M 1.062500 0.746891 0.135045
       659-124-52199 0.680090 3.102215 0.153563 0.260000 4698.203676  E    M 2.047600 3.102215 0.153563
       659-420-52199 0.602460 0.343222 0.069268 0.100000 4481.119144  D    M 2.366100 0.343222 0.069268
       659-283-52199 0.570450 0.888917 0.189118 0.220000 4391.606380  D    M 1.713900 0.888917 0.189118
       659-411-52199 0.467310 0.436854 0.106317 0.190000 4103.185684  D    M 0.485500 0.436854 0.106317
       659-507-52199 1.327450 4.292251 0.202367 0.230000 6508.481180  A   MF 1.402500 4.292251 0.202367
       659-100-52199 1.005900 0.412284 0.095219 0.140000 5609.298760  C    M 1.474900 0.412284 0.095219
       659-533-52199 0.869010 2.308709 0.207597 0.270000 5226.499564  B    M 0.864000 2.308709 0.207597
       659-183-52199 0.498540 1.210512 0.262923 0.280000 4190.517256  C    M 2.143300 1.210512 0.262923
       659-183-52199 0.635130 3.106787 0.228116 0.230000 4572.477532  C    M 2.143300 3.106787 0.228116
        273-69-51957 0.648040 3.019951 0.575836 0.640000 4608.579056 E*    M 2.075600 3.019951 0.575836
        273-69-51957 0.882550 1.327986 0.317123 0.360000 5264.362820  C    M 2.075600 1.327986 0.317123
        273-69-51957 1.267500 1.143109 0.180375 0.250000 6340.837000 C*    M 2.075600 1.143109 0.180375
         273-7-51957 0.790560 1.565991 0.178715 0.200000 5007.121984  B    M 2.041700 1.565991 0.178715
       273-285-51957 0.848210 0.502107 0.108213 0.180000 5168.334444  D    M 0.950600 0.502107 0.108213
       273-119-51957 0.428710 1.097494 0.272974 0.660000 3995.244644  C    M 1.873600 1.097494 0.272974
       273-212-51957 1.969320 0.547937 0.100360 0.270000 8303.406448  D    M 2.051200 0.547937 0.100360
       273-439-51957 1.327120 1.074719 0.130634 0.250000 6507.558368  D    M 1.354600 1.074719 0.130634
       273-439-51957 1.327340 1.055282 0.117301 0.250000 6508.173576  D    M 1.354600 1.055282 0.117301
       273-632-51957 0.713010 2.583172 0.544072 0.650000 4790.261164  C    M 2.673400 2.583172 0.544072
       273-632-51957 1.024420 4.659112 1.155393 0.540000 5661.088088 C*    M 2.673400 4.659112 1.155393
       273-632-51957 1.025980 6.385552 1.597252 0.540000 5665.450472  D    M 2.673400 6.385552 1.597252
       273-632-51957 1.029110 7.006027 1.752985 0.540000 5674.203204  C    M 2.673400 7.006027 1.752985
       273-621-51957 1.392040 0.417635 0.104095 0.260000 6689.100656  C    M 2.229000 0.417635 0.104095
       273-496-51957 0.942420 0.468488 0.101935 0.270000 5431.783288  D    M 1.283200 0.468488 0.101935
       273-595-51957 1.799680 1.095840 0.259673 0.180000 7829.025152  C    M 2.202700 1.095840 0.259673
       273-623-51957 0.435980 1.705456 0.421315 0.600000 4015.574472  D    M 1.137500 1.705456 0.421315
      1197-554-52668 1.776950 0.575451 0.092908 0.110000 7765.462980  B    M 1.844900 0.575451 0.092908
       1197-57-52668 2.012740 3.163565 0.446106 0.180000 8424.826136  C    M 2.109000 3.163565 0.446106
       1197-57-52668 2.017780 2.167156 0.249521 0.180000 8438.919992  C    M 2.109000 2.167156 0.249521
       1197-57-52668 2.022140 1.776887 0.162468 0.180000 8451.112296  E    M 2.109000 1.776887 0.162468
       1197-57-52668 2.032070 2.162219 0.127636 0.180000 8478.880548  C    M 2.109000 2.162219 0.127636
       1197-63-52668 1.993100 2.240152 0.351475 0.140000 8369.904840  E    M 2.044200 2.240152 0.351475
       1197-63-52668 2.000970 1.582822 0.318897 0.140000 8391.912508  D    M 2.044200 1.582822 0.318897
      1197-529-52668 0.477700 0.751844 0.181363 0.230000 4132.240280  C    M 2.259500 0.751844 0.181363
      1197-529-52668 0.619080 0.589841 0.101292 0.230000 4527.595312  C    M 2.259500 0.589841 0.101292
      1197-529-52668 1.060820 2.252016 0.190701 0.190000 5762.877048  B    M 2.259500 2.252016 0.190701
      1197-529-52668 2.181920 5.305602 1.012596 0.190000 8897.921088  A    F 2.259500 5.305602 1.012596
      1197-429-52668 0.730480 0.161227 0.035250 0.120000 4839.114272  C    M 1.028100 0.161227 0.035250
       1197-35-52668 1.784270 1.581743 0.274040 0.310000 7785.932628 C*    M 3.316600 1.581743 0.274040
      1197-350-52668 0.508800 1.889581 0.288309 0.300000 4219.208320  D    M 0.945400 1.889581 0.288309
      1197-350-52668 0.659320 0.643637 0.149459 0.300000 4640.122448  C    M 0.945400 0.643637 0.149459
      1197-119-52668 0.637700 5.545582 0.299811 0.230000 4579.664280  C    M 2.014100 5.545582 0.299811
      1197-119-52668 0.656300 1.124796 0.179315 0.230000 4631.677320  C    M 2.014100 1.124796 0.179315
      1197-119-52668 0.662880 0.687362 0.125084 0.230000 4650.077632  E    M 2.014100 0.687362 0.125084
      1197-485-52668 1.074760 0.609709 0.127244 0.170000 5801.858864  D    M 2.344600 0.609709 0.127244
       1197-15-52668 1.328940 0.323752 0.060543 0.170000 6512.647816  D    M 1.748800 0.323752 0.060543
      1197-305-52668 0.400200 0.612055 0.068562 0.090000 3915.519280  C    M 0.405900 0.612055 0.068562
      1197-305-52668 0.403640 0.371890 0.061982 0.090000 3925.138896  D    M 0.405900 0.371890 0.061982
      1197-212-52668 0.991200 0.681499 0.081358 0.100000 5568.191680  D    M 1.549300 0.681499 0.081358
      1197-593-52668 1.286360 0.737854 0.181949 0.220000 6393.577104  D    M 1.921800 0.737854 0.181949
        884-17-52374 1.743450 0.453808 0.098781 0.220000 7671.783580  D    M 1.931000 0.453808 0.098781
        884-39-52374 0.680040 0.610105 0.134521 0.170000 4698.063856 C*    M 1.653100 0.610105 0.134521
       884-312-52374 0.811410 0.388095 0.091641 0.280000 5065.426924  D    M 1.259700 0.388095 0.091641
       884-104-52374 1.447330 0.626806 0.156906 0.180000 6843.713612  D    M 2.007500 0.626806 0.156906
       884-269-52374 1.052130 0.984343 0.114515 0.180000 5738.576332  D    M 1.131200 0.984343 0.114515
       884-327-52374 0.401240 0.548800 0.124176 0.240000 3918.427536  C    M 2.165200 0.548800 0.124176
        884-72-52374 0.935410 0.890767 0.178773 0.280000 5412.180524  D    M 1.290500 0.890767 0.178773
        926-44-52413 1.993090 1.829213 0.276971 0.460000 8369.876876  A    M 3.098500 1.829213 0.276971
       926-190-52413 1.991120 1.078191 0.255088 0.210000 8364.367968 C*    M 2.174100 1.078191 0.255088
       926-323-52413 0.849620 1.390015 0.339529 0.540000 5172.277368  D    M 1.867300 1.390015 0.339529
       926-323-52413 1.297640 2.418569 0.519228 0.570000 6425.120496  B    M 1.867300 2.418569 0.519228
       926-319-52413 0.857160 0.509380 0.099076 0.350000 5193.362224  D    M 1.534500 0.509380 0.099076
       926-319-52413 0.908440 0.962566 0.197020 0.350000 5336.761616  B    M 1.534500 0.962566 0.197020
       926-319-52413 1.264870 1.210224 0.272422 0.350000 6333.482468  D    M 1.534500 1.210224 0.272422
       926-613-52413 1.573200 0.222680 0.052464 0.140000 7195.696480 C*    M 1.594600 0.222680 0.052464
       926-617-52413 0.560820 0.386976 0.068554 0.200000 4364.677048  D    M 1.732400 0.386976 0.068554
       926-459-52413 0.461080 0.848003 0.210119 0.440000 4085.764112  D    M 1.732500 0.848003 0.210119
       926-459-52413 1.572410 0.568339 0.091743 0.190000 7193.487324  D    M 1.732500 0.568339 0.091743
       386-180-51788 1.845750 1.769305 0.269173 0.510000 7957.855300  C    M 2.744900 1.769305 0.269173
       386-148-51788 1.428200 0.893254 0.177086 0.270000 6790.218480  D    M 2.087700 0.893254 0.177086
       386-137-51788 0.774350 1.077014 0.090737 0.110000 4961.792340  C    M 3.032400 1.077014 0.090737
       386-137-51788 0.900330 1.150327 0.149448 0.180000 5314.082812  D    M 3.032400 1.150327 0.149448
       386-137-51788 1.196770 0.551719 0.098781 0.190000 6143.047628  E    M 3.032400 0.551719 0.098781
       386-310-51788 1.342040 0.799303 0.044406 0.080000 6549.280656  A   MF 1.347300 0.799303 0.044406
       386-291-51788 1.015640 0.775436 0.178107 0.250000 5636.535696  D    M 1.547700 0.775436 0.178107
       386-355-51788 1.844930 1.382459 0.221095 0.390000 7955.562252  C    M 2.860700 1.382459 0.221095
       386-593-51788 1.066900 1.874305 0.072089 0.110000 5779.879160  A   MF 1.064500 1.874305 0.072089
       386-118-51788 1.225040 1.315931 0.222468 0.250000 6222.101856  B    M 1.807600 1.315931 0.222468
       386-383-51788 1.030510 0.394482 0.069441 0.120000 5678.118164  B    M 1.999600 0.394482 0.069441
       386-605-51788 0.963000 1.461538 0.310239 0.280000 5489.333200  D    M 1.586300 1.461538 0.310239
       386-449-51788 1.270080 1.334314 0.277964 0.510000 6348.051712  C    M 1.480200 1.334314 0.277964
        297-14-51959 1.999840 2.203117 0.223012 0.190000 8388.752576  B    M 2.133200 2.203117 0.223012
        297-14-51959 2.005890 1.903596 0.292759 0.190000 8405.670796  C    M 2.133200 1.903596 0.292759
        297-14-51959 2.014040 1.447227 0.240873 0.190000 8428.461456 E*    M 2.133200 1.447227 0.240873
       297-626-51959 1.145340 0.147762 0.029832 0.110000 5999.228776  D    M 1.474500 0.147762 0.029832
        297-18-51959 1.553650 0.964502 0.056390 0.180000 7141.026860  A   MC 1.549000 0.964502 0.056390
        297-44-51959 0.745140 0.469303 0.106009 0.190000 4880.109496  C    M 0.738300 0.469303 0.106009
       297-314-51959 1.035350 0.482472 0.089420 0.210000 5691.652740  D    M 1.594700 0.482472 0.089420
      1427-172-52996 1.081010 0.745792 0.118212 0.180000 5819.336364  C    M 2.428200 0.745792 0.118212
      1427-617-52996 1.611050 1.379522 0.127535 0.270000 7301.540220  C    M 1.896400 1.379522 0.127535
      1427-617-52996 1.614770 1.021505 0.127353 0.270000 7311.942828  C    M 1.896400 1.021505 0.127353
      1427-477-52996 0.626200 0.466117 0.070102 0.120000 4547.505680  C    M 0.633000 0.466117 0.070102
      1427-240-52996 1.121490 0.453926 0.058449 0.120000 5932.534636  C    M 1.566600 0.453926 0.058449
      1427-240-52996 1.229900 0.954751 0.056056 0.120000 6235.692360  E    M 1.566600 0.954751 0.056056
      1427-240-52996 1.267140 0.565029 0.053371 0.120000 6339.830296  C    M 1.566600 0.565029 0.053371
      1427-240-52996 1.283870 0.338023 0.037218 0.120000 6386.614068  B    M 1.566600 0.338023 0.037218
      1427-240-52996 1.311600 0.381554 0.047153 0.120000 6464.158240  C    M 1.566600 0.381554 0.047153
      1427-240-52996 1.323930 0.794344 0.030982 0.120000 6498.637852  C    M 1.566600 0.794344 0.030982
      1427-240-52996 1.326730 0.330937 0.021060 0.120000 6506.467772  C    M 1.566600 0.330937 0.021060
      1427-240-52996 1.340160 0.636709 0.055124 0.120000 6544.023424  B    M 1.566600 0.636709 0.055124
      1427-240-52996 1.353080 0.532919 0.047597 0.120000 6580.152912  E    M 1.566600 0.532919 0.047597
      1427-240-52996 1.457940 0.803925 0.041091 0.120000 6873.383416  C    M 1.566600 0.803925 0.041091
      1427-240-52996 1.460980 0.901673 0.048761 0.120000 6881.884472  B    M 1.566600 0.901673 0.048761
      1427-240-52996 1.475820 1.526363 0.039179 0.120000 6923.383048  B    M 1.566600 1.526363 0.039179
      1427-240-52996 1.495070 1.093757 0.036472 0.120000 6977.213748  B    M 1.566600 1.093757 0.036472
      1427-240-52996 1.499110 0.514983 0.038414 0.120000 6988.511204  E   MF 1.566600 0.514983 0.038414
      1427-240-52996 1.501130 0.539356 0.046779 0.120000 6994.159932  E   MF 1.566600 0.539356 0.046779
      1427-240-52996 1.505350 0.360828 0.043108 0.120000 7005.960740  C   MF 1.566600 0.360828 0.043108
      1427-110-52996 1.483040 1.325391 0.070075 0.180000 6943.573056  A   MF 1.488700 1.325391 0.070075
