# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII z_abs_chicago rEW_MgII_chicago rEWerr_MgII_chicago, grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
       891-485-52584 1.512900 1.385000 0.060000 1.512070 1.333960 0.071654  A  MCF 1.688400 1.333960 0.071654
       891-163-52584 0.986000 0.754000 0.059000 0.985450 0.723765 0.077061  A   MF 1.159400 0.723765 0.077061
        891-56-52584 0.891800 0.574000 0.083000 0.891310 0.583722 0.113678  C    M 1.560100 0.583722 0.113678
       829-328-52296 0.533300 0.332000 0.043000 0.533070 0.341798 0.047617  C    M 0.990800 0.341798 0.047617
       829-460-52296 0.743600 1.275000 0.101000 0.743180 1.241409 0.131943  A   MF 1.858700 1.241409 0.131943
       829-530-52296 0.488400 0.666000 0.049000 0.488110 0.708281 0.057791  B    M 1.246100 0.708281 0.057791
       829-613-52296 1.454400 0.681000 0.109000 1.453780 0.510233 0.085990  C    M 1.937400 0.510233 0.085990
       829-519-52296 0.840100 1.048000 0.134000 0.839640 1.127938 0.156009  C    M 1.441800 1.127938 0.156009
       829-519-52296 0.912700 1.245000 0.122000 0.912200 1.167765 0.134400  A   MF 1.441800 1.167765 0.134400
       829-465-52296 0.946300 0.743000 0.058000 0.945940 0.703002 0.072459  A    M 1.839300 0.703002 0.072459
       829-465-52296 1.707100 0.683000 0.075000 1.706380 0.703892 0.104568  A   MC 1.839300 0.703892 0.104568
       829-624-52296 0.429500 0.996000 0.078000 0.429070 1.131505 0.093068  B    M 1.626200 1.131505 0.093068
        829-48-52296 1.435900 1.770000 0.136000 1.434900 1.862499 0.153600  C    M 3.564100 1.862499 0.153600
       829-446-52296 1.516700 2.321000 0.085000 1.516100 2.252693 0.116053  A  MCF 1.888200 2.252693 0.116053
       829-186-52296 0.706800 0.845000 0.099000 0.706430 0.747174 0.116032  A   MF 1.382300 0.747174 0.116032
      1199-511-52703 1.381000 0.461000 0.051000 1.380450 0.442773 0.065114  C    M 3.082500 0.442773 0.065114
      1199-223-52703 1.561800 1.501000 0.109000 1.560880 1.526428 0.141358  B    M 4.144600 1.526428 0.141358
      1199-223-52703 1.878700 2.047000 0.184000 1.877950 5.341649 0.413141  B   MF 4.144600 5.341649 0.413141
      1199-606-52703 0.954200 1.529000 0.285000 0.953820 1.465846 0.300437  A    M 1.386700 1.465846 0.300437
      1199-502-52703 1.459900 0.575000 0.100000 1.459350 0.549332 0.130116  C    M 2.024500 0.549332 0.130116
      1199-283-52703 1.024600 1.970000 0.134000 1.024050 2.183741 0.138337  A   MF 1.160000 2.183741 0.138337
       1199-28-52703 1.331100 0.641000 0.080000 1.330530 0.620460 0.101265  C    M 1.738700 0.620460 0.101265
       1199-28-52703 1.612600 0.930000 0.112000 1.612090 0.802423 0.129398  A   MF 1.738700 0.802423 0.129398
       1199-80-52703 1.489700 4.233000 0.077000 1.488780 10.230314 0.218581  A   MF 1.750500 10.230314 0.218581
      1199-468-52703 0.751700 1.486000 0.245000 0.751290 1.599392 0.274084 C*    M 1.539800 1.599392 0.274084
      1199-104-52703 0.906000 1.044000 0.135000 0.905990 1.157404 0.169990  B    M 1.862000 1.157404 0.169990
      1199-538-52703 1.295900 1.414000 0.125000 1.295260 1.473907 0.145082  B    M 1.656000 1.473907 0.145082
        1199-8-52703 1.884600 1.014000 0.202000 1.883670 0.905790 0.202173  A   MC 2.213400 0.905790 0.202173
      1199-204-52703 1.674300 1.723000 0.201000 1.673550 1.858578 0.292495  A  MCF 1.952800 1.858578 0.292495
      1015-630-52734 1.168600 0.891000 0.165000 1.168040 0.874984 0.166510  A   MF 3.081200 0.874984 0.166510
      1015-624-52734 0.802400 2.304000 0.119000 0.802020 2.273005 0.154271  A   MF 1.834500 2.273005 0.154271
      1015-600-52734 0.921000 0.954000 0.124000 0.920550 0.987217 0.167660  C    M 2.279800 0.987217 0.167660
      1015-636-52734 1.521200 1.013000 0.168000 1.520570 0.889878 0.158298  C    M 1.755600 0.889878 0.158298
      1015-296-52734 1.156500 1.812000 0.175000 1.155860 1.860047 0.214763  A   MF 1.636000 1.860047 0.214763
      1015-296-52734 1.251300 1.725000 0.105000 1.250980 1.715697 0.137274  A    F 1.636000 1.715697 0.137274
      1015-166-52734 0.575300 0.727000 0.109000 0.574910 0.760678 0.175883  C    M 1.316100 0.760678 0.175883
      1015-402-52734 1.292500 0.702000 0.060000 1.292010 0.653575 0.075043  C    M 1.634600 0.653575 0.075043
      1015-145-52734 0.815600 0.583000 0.110000 0.814930 0.435278 0.101381  B    M 2.059500 0.435278 0.101381
      1015-181-52734 1.204500 1.465000 0.163000 1.203710 1.254702 0.193310  B    M 3.245200 1.254702 0.193310
      1015-181-52734 1.732400 0.902000 0.181000 1.732010 0.849924 0.210834  D    M 3.245200 0.849924 0.210834
      1015-570-52734 1.946300 3.115000 0.264000 1.946310 3.459582 0.416793  A  MCF 2.028900 3.459582 0.416793
      1015-172-52734 1.537300 1.880000 0.163000 1.536520 2.054784 0.191601  A   MF 2.102700 2.054784 0.191601
      1015-129-52734 1.023100 1.242000 0.078000 1.022580 1.194514 0.099378  B   MF 1.328200 1.194514 0.099378
       1015-61-52734 0.628800 2.455000 0.225000 0.628450 2.302803 0.253001  A   MF 1.847600 2.302803 0.253001
       615-507-52347 0.756700 2.935000 0.093000 0.756290 3.179999 0.127542  A   MF 1.907100 3.179999 0.127542
       615-507-52347 1.572000 0.895000 0.054000 1.571200 0.915137 0.070006  A   MC 1.907100 0.915137 0.070006
       615-507-52347 1.598000 0.909000 0.063000 1.597210 0.805865 0.070460  A   MC 1.907100 0.805865 0.070460
       615-585-52347 2.051200 0.787000 0.041000 2.050340 0.710740 0.046224  A   CF 2.592700 0.710740 0.046224
       615-632-52347 1.573100 1.692000 0.151000 1.572390 1.867913 0.184264  B    M 1.656500 1.867913 0.184264
       615-632-52347 1.072600 6.340000 0.572000 1.071810 7.384364 0.827296  A    F 1.656500 7.384364 0.827296
       615-117-52347 0.744600 1.593000 0.173000 0.744090 1.464374 0.211572  A   MF 1.172300 1.464374 0.211572
       615-266-52347 1.547100 0.264000 0.033000 1.546700 0.282719 0.040052  B    M 1.922000 0.282719 0.040052
       615-266-52347 1.590700 0.356000 0.040000 1.589930 0.321244 0.049036  A   MC 1.922000 0.321244 0.049036
       615-233-52347 1.802900 1.907000 0.146000 1.802180 1.908871 0.186640  A  MCF 1.951500 1.908871 0.186640
       615-416-52347 1.689500 1.083000 0.101000 1.688940 1.133904 0.136485  A  MCF 1.788800 1.133904 0.136485
       615-554-52347 1.245500 1.553000 0.097000 1.244740 1.610431 0.120281  A    F 1.513700 1.610431 0.120281
       615-597-52347 1.462200 1.047000 0.085000 1.461280 1.065706 0.104417  A   MF 2.535700 1.065706 0.104417
       615-115-52347 0.887500 1.425000 0.137000 0.886840 1.814144 0.196625  B    M 1.131000 1.814144 0.196625
       615-231-52347 0.960500 0.977000 0.043000 0.959900 1.007194 0.060207  A   MF 1.428200 1.007194 0.060207
       615-480-52347 1.108300 1.608000 0.116000 1.107690 1.812885 0.173175  A    F 1.717900 1.812885 0.173175
       615-609-52347 1.332000 1.843000 0.123000 1.331470 1.847332 0.156125  A   MF 1.808600 1.847332 0.156125
       484-211-51907 1.666200 2.237000 0.160000 1.665250 2.052340 0.187975  A   CF 1.990300 2.052340 0.187975
        484-59-51907 1.430700 1.544000 0.133000 1.430180 1.822087 0.172004  C    M 2.529300 1.822087 0.172004
       484-618-51907 1.317700 1.116000 0.060000 1.317040 1.059973 0.077254  A    M 2.004700 1.059973 0.077254
       484-134-51907 0.930100 1.506000 0.075000 0.929800 1.606902 0.096383  B   MF 2.227700 1.606902 0.096383
       484-134-51907 1.282200 0.695000 0.075000 1.281620 1.003235 0.094231  C    M 2.227700 1.003235 0.094231
       484-602-51907 1.016700 0.899000 0.060000 1.016170 0.957261 0.076382  B    M 1.289900 0.957261 0.076382
       484-519-51907 0.778200 1.712000 0.193000 0.778020 1.454427 0.237343  D    M 2.070800 1.454427 0.237343
       484-515-51907 1.072600 0.813000 0.057000 1.072140 0.805930 0.076732  A   MF 1.950500 0.805930 0.076732
       484-546-51907 1.223200 2.424000 0.135000 1.222790 2.717756 0.162858  A   MF 2.401000 2.717756 0.162858
       484-626-51907 0.621800 1.582000 0.180000 0.621480 1.699065 0.217086  B    M 1.769500 1.699065 0.217086
       484-626-51907 1.339300 1.673000 0.134000 1.338680 1.865582 0.191989  A    M 1.769500 1.865582 0.191989
       484-120-51907 1.025800 1.566000 0.195000 1.025300 1.388436 0.230583  A   MF 1.145300 1.388436 0.230583
       484-300-51907 1.375500 0.873000 0.097000 1.375050 0.840403 0.104840  A    M 1.433700 0.840403 0.104840
       484-565-51907 0.957600 1.725000 0.159000 0.957130 1.763807 0.190074  A   MF 1.077100 1.763807 0.190074
       484-356-51907 0.972400 0.895000 0.094000 0.971990 0.768767 0.121197  A   MF 1.799300 0.768767 0.121197
      1383-257-53116 0.593100 0.991000 0.068000 0.592780 1.115032 0.088524  A    M 2.276300 1.115032 0.088524
      1383-257-53116 1.140800 0.638000 0.057000 1.140340 0.638684 0.064943  C    M 2.276300 0.638684 0.064943
      1383-444-53116 1.544100 0.909000 0.096000 1.543460 0.919613 0.117556  C    M 2.300400 0.919613 0.117556
      1383-590-53116 0.769100 0.538000 0.057000 0.768740 0.552936 0.063887  C    M 1.229800 0.552936 0.063887
      1383-496-53116 0.630200 3.554000 0.117000 0.629370 3.625328 0.162640  A   MF 1.767000 3.625328 0.162640
      1383-496-53116 1.383000 0.601000 0.063000 1.382520 0.507446 0.062959  B    M 1.767000 0.507446 0.062959
      1383-375-53116 0.655000 1.671000 0.168000 0.654530 1.572048 0.203079  A    M 1.902600 1.572048 0.203079
      1383-260-53116 0.857900 2.118000 0.092000 0.857700 2.200571 0.127039  A   MF 0.953100 2.200571 0.127039
       1383-74-53116 0.585500 2.552000 0.143000 0.585140 2.471075 0.184211  B    M 0.768900 2.471075 0.184211
      1383-461-53116 1.331200 0.645000 0.090000 1.330650 0.661618 0.105121  D    M 1.940900 0.661618 0.105121
      1383-461-53116 1.617800 1.000000 0.142000 1.617330 0.955172 0.152063  A   MC 1.940900 0.955172 0.152063
      1383-525-53116 1.047400 1.201000 0.165000 1.046960 1.148532 0.207625  C    M 1.633000 1.148532 0.207625
       1383-35-53116 0.479300 1.666000 0.284000 0.478990 2.139974 0.366466  C    M 1.935500 2.139974 0.366466
       1383-96-53116 1.233800 1.649000 0.138000 1.233280 1.738250 0.161646  C    M 1.358900 1.738250 0.161646
       1383-44-53116 1.209100 1.483000 0.224000 1.208370 1.555899 0.287542  A   MF 1.809600 1.555899 0.287542
      1018-230-52672 0.433600 1.032000 0.108000 0.433260 1.018657 0.134658  C    M 0.836500 1.018657 0.134658
      1018-138-52672 1.679900 1.368000 0.115000 1.679090 1.384799 0.163862  A  MCF 1.963900 1.384799 0.163862
      1018-411-52672 1.070300 0.432000 0.076000 1.070000 0.000000 0.057971  A    F 1.414900 0.000000 0.057971
       1018-27-52672 1.196100 0.655000 0.072000 1.195800 0.619820 0.091083  C    M 1.570200 0.619820 0.091083
      1018-202-52672 1.162300 1.230000 0.138000 1.161700 1.306379 0.165148  B    M 2.396800 1.306379 0.165148
       1018-32-52672 1.425800 1.162000 0.142000 1.425200 1.164440 0.186376  B    M 4.114200 1.164440 0.186376
       1018-64-52672 0.448300 0.739000 0.117000 0.448080 0.580078 0.127755  D    M 0.535600 0.580078 0.127755
      1018-156-52672 0.476700 1.935000 0.245000 0.476390 1.838268 0.332568  C    M 0.583900 1.838268 0.332568
      1018-120-52672 1.211700 1.761000 0.195000 1.211100 1.809054 0.224775  A   MF 1.345100 1.809054 0.224775
      1018-315-52672 0.861900 0.924000 0.104000 0.861460 0.994381 0.128931  C    M 1.363100 0.994381 0.128931
      1018-571-52672 0.640400 1.815000 0.103000 0.639990 1.850011 0.138415  A   MF 1.678000 1.850011 0.138415
       1018-82-52672 1.282400 1.373000 0.126000 1.281350 1.349639 0.142460  A    M 1.547700 1.349639 0.142460
        744-50-52251 1.069700 1.223000 0.138000 1.069320 1.359867 0.183152  C    M 1.750600 1.359867 0.183152
       744-356-52251 0.921500 1.497000 0.166000 0.920910 1.658068 0.205111  A   MF 2.152100 1.658068 0.205111
       744-356-52251 1.606100 0.964000 0.163000 1.605380 0.995632 0.175406  A   MC 2.152100 0.995632 0.175406
       744-390-52251 1.666000 1.594000 0.100000 1.665440 1.572723 0.124932  A   MF 3.302500 1.572723 0.124932
       744-621-52251 0.896400 0.988000 0.067000 0.895830 0.968969 0.083341  A   MF 1.157700 0.968969 0.083341
       744-598-52251 0.593400 2.108000 0.273000 0.592990 2.053999 0.317642  D    M 1.980800 2.053999 0.317642
       744-598-52251 1.266200 1.360000 0.108000 1.265650 1.301613 0.127999  B    M 1.980800 1.301613 0.127999
      1311-615-52765 1.121500 1.887000 0.186000 1.120930 2.019397 0.252719  A   MF 1.191200 2.019397 0.252719
      1311-631-52765 0.624700 1.313000 0.120000 0.624220 1.301548 0.156383  A   MF 1.605200 1.301548 0.156383
      1311-631-52765 0.750200 0.901000 0.114000 0.749820 0.800654 0.134871  C    M 1.605200 0.800654 0.134871
      1311-631-52765 0.847500 3.214000 0.097000 0.847120 3.750162 0.173784  A   MF 1.605200 3.750162 0.173784
       1311-86-52765 1.630800 1.166000 0.148000 1.633590 1.155457 0.206182  B    M 1.657900 1.155457 0.206182
       1311-86-52765 1.633800 1.260000 0.184000 1.633590 1.155457 0.206182  B    M 1.657900 1.155457 0.206182
       1311-86-52765 1.630800 1.166000 0.148000 1.630020 1.255504 0.208363  B    C 1.657900 1.255504 0.208363
       1311-34-52765 0.542300 1.268000 0.116000 0.541910 1.269205 0.152408  B    M 0.913900 1.269205 0.152408
      1311-389-52765 1.200900 1.642000 0.087000 1.200430 1.585145 0.120885  A    M 3.525600 1.585145 0.120885
      1311-405-52765 1.376400 2.080000 0.031000 1.375710 2.040232 0.046723  A   MF 1.670900 2.040232 0.046723
      1568-344-53169 1.471500 1.235000 0.134000 1.470840 1.403571 0.180101  A    M 2.074000 1.403571 0.180101
