0277-628-51908 1.54200 18.52 0.87317   C    M 1.19000 0.14300 0.92700 0.18100 0.29618   0   0 good
1347-529-52823 0.88700 17.02 0.83038   C    M 1.12600 0.09200 0.91600 0.09400 0.03047   0   0 good
1357-159-53034 2.29900 18.28 1.84782   A  MCF 3.57900 0.16400 2.72200 0.11700 0.14601   0   0 good
1003-293-52641 2.20470 17.21 1.19320   A   MF 5.23400 0.08200 4.63100 0.09600 0.36205   1   1 good
1398-225-53146 1.21060 18.62 0.45842   C    M 2.69800 0.41200 2.35000 0.37600 0.39346   0   0 good
1457-518-53116 1.08540 17.84 0.45122   C    M 0.79300 0.09100 0.62700 0.08400 0.34747   0   0 good
0460-127-51924 1.89640 19.12 1.53423   B    M 2.14400 0.24400 2.04500 0.35400 0.13281   0   0 good
0491-368-51942 0.94300 18.54 0.76130   C    M 1.59200 0.13200 1.06900 0.11900 0.09789   0   0 good
0513-494-51989 2.63470 18.45 1.99140   A  MCF 9.22800 0.52900 4.21100 0.39100 0.19237   0   0 good
1188-219-52650 1.71960 19.14 1.44824   A   MF 14.77500 0.81200 16.01400 0.87100 0.10471   0   0 good
1440-441-53084 1.65200 18.96 1.15983   A   MF 2.08100 0.34100 2.93900 0.37400 0.20244   0   0 good
1191-542-52674 1.86900 19.19 0.93132   D    M 1.57300 0.33500 1.08600 0.32100 0.37631   1   1 good
0469-282-51913 1.39070 18.85 1.00918   D    M 1.52000 0.28900 0.81400 0.24200 0.17214   0   0 good
0436-540-51883 1.16330 18.57 0.70880   C    M 1.97900 0.20000 2.10700 0.19200 0.23158   0   0 good
0394-264-51913 2.03510 19.13 1.93631   A   MC 3.70700 0.38300 1.71900 0.38700 0.03308   0   0 good
1341-356-52786 2.00670 17.15 1.60888   A   MF 2.31000 0.14500 1.24900 0.17300 0.14097   0   0 good
0277-418-51908 2.01240 18.53 0.71895   B    M 0.91000 0.12600 0.79500 0.14100 0.50874   0   0 good
0549-568-51981 1.58520 19.62 0.89276   A   MF 3.42400 0.49200 2.18800 0.48500 0.30204   0   0 good
0442-193-51882 2.13260 17.68 0.71658   C    M 1.16500 0.09800 0.94600 0.10600 0.53813   0   0 good
