1162-537-52668 1.32230 17.96 0.86672   B    M 1.37700 0.14500 1.19900 0.14300 0.21498   0   0 good
0623-001-52051 2.31220 18.25 1.60598   B    M 2.86000 0.39000 2.52300 0.29600 0.23531   0   0 good
1600-059-53090 2.16980 17.71 1.74798   A  MCF 2.02000 0.17000 2.00200 0.17600 0.14183   0   0 good
1378-177-53061 1.33380 18.43 1.28843   A   MF 4.00800 0.11900 3.62500 0.11800 0.01965   0   0 good
0847-226-52426 1.43820 18.91 1.40763   A   MF 9.21000 0.34100 8.26400 0.33500 0.01260   0   0 good
0752-134-52251 1.53900 18.56 0.48344   A   MF 3.97500 0.29000 3.55700 0.29700 0.49103   0   0 good
0354-503-51792 1.11050 19.03 0.61670   A   MF 3.58200 0.49800 3.46100 0.54700 0.26042   0   0 good
1038-426-52673 1.54950 18.37 1.32190   A   MF 5.66600 0.30800 5.39400 0.31100 0.09326   0   0 good
0596-305-52370 2.04970 19.35 1.74268   A   MC 3.92500 0.57400 2.01100 0.45900 0.10571   1   1 good
1324-466-53088 2.34220 18.46 0.94078   A   MF 2.40300 0.13700 2.01100 0.14100 0.49566   0   0 good
0585-628-52027 1.95010 18.66 1.65638   A  MCF 10.58900 0.36200 8.97200 0.33700 0.10448   0   0 good
0309-556-51994 2.52710 18.79 0.82212   A   MF 3.76300 0.22600 3.20500 0.21000 0.57868   0   0 good
0936-546-52705 2.39470 18.37 1.39221   A   MF 2.86000 0.20000 1.88600 0.17200 0.33637   0   0 good
1272-254-52989 2.99620 18.83 1.61366   A   MF 8.69500 0.63900 5.63300 0.62400 0.40079   0   0 good
1189-092-52668 1.31650 17.79 0.95906   A   MF 0.59400 0.09800 0.72000 0.11000 0.16605   0   0 good
1178-534-52825 2.08060 19.04 0.85320   A   MF 3.43200 0.32100 3.85900 0.36500 0.46855   0   0 good
0788-283-52338 1.56070 18.81 0.81300   B    M 1.62600 0.24600 1.11000 0.20400 0.33220   0   0 good
1197-572-52668 1.90270 18.58 1.12457   A   MF 3.83100 0.28000 3.87900 0.26400 0.30232   0   0 good
1780-289-53090 2.18790 18.79 2.08308   A    C 8.11400 1.07000 7.40300 1.03800 0.03342   0   0 good
