0411-002-51817 1.56480 18.31 1.47106   B    M 2.31600 0.22300 2.17500 0.27700 0.03720   0   0 good
1446-401-53080 1.01680 18.67 0.46246   C    M 4.50200 0.25900 3.57300 0.23700 0.31077   0   0 good
0818-060-52395 1.80170 18.95 1.41717   B    M 4.00500 0.34500 3.82400 0.31800 0.14655   0   0 good
1305-170-52757 2.01510 18.25 1.61921   A   MF 2.33200 0.30000 1.04800 0.16300 0.13985   0   0 good
0934-220-52672 2.13780 16.94 1.16177   A   MF 1.61000 0.08700 1.04800 0.08300 0.35626   1   1 good
1295-152-52934 2.06610 19.35 1.28355   A   MF 2.70500 0.48000 1.95400 0.27600 0.28643   0   0 good
1016-094-52759 1.88850 18.99 0.90721   B    M 1.86500 0.33400 1.05100 0.25100 0.39278   0   0 good
0611-547-52055 1.60140 18.33 1.23093   B    M 1.71100 0.25400 1.60800 0.23200 0.15243   0   0 good
1325-028-52762 1.72060 19.01 1.34540   C    M 2.46100 0.37600 1.71200 0.33900 0.14732   0   0 good
0879-229-52365 2.07950 18.88 1.19781   A   MF 13.30900 0.63700 12.88300 0.68600 0.32508   0   0 good
0589-599-52055 1.29180 18.08 0.61574   D    M 0.67200 0.14700 0.70500 0.20300 0.33597   0   0 good
1699-578-53148 2.04020 19.05 1.74308   B    M 2.92100 0.42100 2.32000 0.44900 0.10249   0   0 good
0660-296-52177 1.48600 18.72 1.16085   A   MF 4.65900 0.37100 4.91800 0.35200 0.13926   0   0 good
0640-087-52178 2.07900 18.80 0.72633   B    M 1.58000 0.23500 1.30800 0.28300 0.52165   0   0 good
1319-376-52791 1.01930 19.08 0.78830   C    M 2.90900 0.35900 3.14300 0.42200 0.12087   0   0 good
0638-421-52081 1.76480 18.23 1.56503   A   MF 7.70800 0.22600 7.71100 0.22900 0.07485   1   1 good
1020-490-52721 1.93640 18.90 1.29956   A   MF 3.60800 0.31200 3.02300 0.29600 0.23971   1   1 good
1283-256-52762 1.44940 18.80 0.65026   C    M 1.31500 0.29700 1.36700 0.31600 0.37558   0   0 good
1053-306-52468 2.51800 17.33 2.16732   A   CF 7.13100 0.34500 6.03700 0.67300 0.10461   0   0 good
1357-159-53034 2.29900 18.28 1.84782   A  MCF 3.57900 0.16400 2.72200 0.11700 0.14601   0   0 good
1643-537-53143 2.37850 17.53 1.59198   A   MF 3.24500 0.11300 2.55000 0.08100 0.25898   0   0 good
0450-397-51908 1.84020 18.92 1.53796   A   MC 2.69000 0.22700 1.89600 0.23200 0.11206   0   0 good
1295-174-52934 1.84860 17.06 0.79503   A   MF 1.92500 0.06700 1.77200 0.06000 0.43155   0   0 good
0270-231-51909 1.24330 17.28 0.84250   A   MF 1.26100 0.09000 1.12100 0.08800 0.19431   0   0 good
1362-636-53050 2.17320 18.97 1.67711   C    C 1.57600 0.27800 0.69100 0.21300 0.16840   0   0 good
0750-422-52235 1.96290 19.06 1.62165   C    M 2.47800 0.46900 1.76000 0.38300 0.12175   0   0 good
1460-434-53138 1.10350 17.87 0.96250   A   MF 2.74000 0.11800 2.17000 0.12600 0.06928   0   0 good
1696-492-53116 3.21040 17.55 1.65745   C    M 1.50300 0.19300 1.00300 0.17000 0.43024   0   0 good
1235-149-52734 1.03570 18.63 0.58068   D    M 1.34900 0.22800 0.57200 0.17200 0.24772   0   0 good
0836-348-52376 1.85410 18.64 0.92869   A   MF 2.82600 0.23700 2.82100 0.24500 0.37301   0   0 good
0981-229-52435 2.07010 18.86 1.28348   A    M 2.92300 0.30200 2.34000 0.27800 0.28765   0   0 good
0851-229-52376 1.81880 18.68 0.79846   B    M 1.62800 0.26000 1.22600 0.27200 0.42138   0   0 good
0463-257-51908 1.26190 19.16 0.93078   D    M 2.77500 0.46800 0.99600 0.26300 0.15695   0   0 good
0969-107-52442 1.84010 17.77 1.75149   A  MCF 6.39700 0.17000 5.66800 0.27600 0.03170   1   1 good
1393-275-52824 1.32350 17.79 1.07591   B    M 0.83200 0.13100 0.87800 0.16900 0.11221   0   0 good
0607-438-52368 2.10960 18.73 1.49371   A  MCF 2.89100 0.24800 2.40800 0.22900 0.21722   0   0 good
1466-105-53083 1.75140 18.20 1.74714   A  MCF 4.20000 0.18300 3.29500 0.19100 0.00154   1   1 good  
0777-107-52320 2.51490 19.22 0.91384   D    M 4.81400 0.73000 6.83500 0.78200 0.54264   0   0 good  
0662-002-52147 2.01890 18.64 1.83174   E    M 1.96400 0.39900 1.63500 0.39000 0.06391   1   1 bad  
1698-280-53146 1.88200 19.05 1.60716   C    M 4.57400 0.44300 5.08100 0.48100 0.09989   1   1 bad  
1453-184-53084 2.16050 18.69 1.01000   C    M 0.97200 0.19300 1.19800 0.29100 0.42403   0   0 good  
0873-309-52674 2.59100 18.40 0.86776   B    M 2.31900 0.20200 1.62200 0.20400 0.57416   0   0 unsure  
1415-193-52885 1.99400 19.18 0.52197   D    M 1.57300 0.27500 1.78600 0.53100 0.58930   0   0 good  
1698-300-53146 1.68620 18.93 1.48187  C*    M 1.87200 0.33800 1.60800 0.36700 0.07895   0   0 bad  
0940-041-52670 3.70670 19.53 1.50121  E*    M 2.34100 0.48000 1.62600 0.45300 0.55957   0   0 bad  
0302-619-51688 2.26760 17.99 0.77504  C*    M 0.83200 0.12600 0.68800 0.14300 0.54429   0   0 bad  
0619-256-52056 0.75720 18.28 0.65553   C    M 0.90500 0.21800 0.85100 0.19700 0.05953   0   0 unsure  
0992-601-52644 1.68500 19.56 0.47703   C    M 3.60300 0.68700 2.99600 0.40400 0.53537   0   0 bad  
0827-549-52312 3.67720 19.08 1.83984   C    M 4.70400 0.63600 3.88500 0.96500 0.46129   1   1 bad  
1223-625-52781 0.53970 16.99 0.53073   B    M 2.63000 0.08000 0.21700 0.03200 0.00582   0   0 bad  
0844-028-52378 1.73610 17.64 1.47577   D    M 0.79500 0.19200 0.21600 0.06900 0.09967   0   0 bad  
1736-090-53052 1.35570 19.08 1.04949   D    M 1.28800 0.31400 1.06500 0.33900 0.13835   0   0 good  
0301-460-51942 3.92700 19.32 2.00098   D    M 5.69100 0.93900 4.15900 1.20800 0.45880   0   0 bad  
0546-141-52205 2.11490 19.38 1.81942   A   MC 3.39900 0.56900 2.44300 0.52800 0.09933   0   0 bad  
0926-044-52413 3.09850 19.29 1.99309   A    M 5.47500 0.82900 6.09900 0.89700 0.30435   0   0 bad  
1302-192-52763 1.96690 18.67 0.87531   C    M 3.37400 0.30600 1.57200 0.24600 0.42905   1   1 bad  
1197-035-52668 3.31660 19.58 1.78427  C*    M 4.40400 0.76300 2.86200 0.95000 0.41238   0   0 bad  
0773-177-52376 2.36510 17.75 1.46078   D    M 0.78200 0.17700 0.37600 0.10500 0.30313   0   0 good  
0283-330-51959 1.04690 19.11 1.04616   A   MF 1.82300 0.21500 2.18900 0.25000 0.00034   0   0 good  
0298-377-51955 2.02220 18.43 0.43473   C    M 0.64000 0.11600 0.54200 0.11300 0.63215   0   0 unsure  
0880-318-52367 1.28840 19.19 1.26324   C    M 3.13100 0.49100 1.56500 0.36400 0.01104   0   0 unsure  
0426-470-51882 1.45760 19.09 1.45753   D    M 2.16800 0.28700 0.93300 0.24300 0.00003   0   0 unsure  
0978-553-52441 1.87410 17.94 0.83705   A    M 3.98200 0.14900 2.31600 0.13700 0.41992   1   1 bad  
0403-108-51871 3.27860 18.61 0.92628   E    M 3.23700 0.20300 1.03200 0.17000 0.66293   0   0 bad  
1229-321-52723 1.78220 18.82 1.00157  C*    M 2.00900 0.29100 0.92200 0.26800 0.31791   0   0 bad  
0882-630-52370 0.91680 18.82 0.72287   C    M 0.77300 0.17300 0.99200 0.23100 0.10626   0   0 unsure  
1336-619-52759 1.50460 18.42 1.27358   D    M 0.40500 0.08800 0.46000 0.14200 0.09647   0   0 bad  
0600-109-52317 2.01310 19.15 1.47295   D    M 1.48600 0.31500 1.75700 0.47900 0.19504   1   1 bad  
1593-059-52991 1.83350 18.73 1.48366   C    M 1.92600 0.41300 1.20900 0.18500 0.13103   0   0 bad  
0938-089-52708 2.08690 19.59 1.99115   C    M 8.43100 0.94900 4.98800 0.88100 0.03149   0   0 bad  
0877-068-52353 2.80870 18.44 0.94836   B    M 1.66800 0.24600 1.05900 0.24500 0.58518   0   0 good  
0270-640-51909 1.25140 18.85 0.76223   C    M 1.13700 0.22300 1.57600 0.36300 0.24021   0   0 good  
0967-242-52636 1.81420 18.66 1.63816   B    C 1.11500 0.27000 0.82000 0.24000 0.06451   1   1 bad  
0464-032-51908 2.43610 17.88 1.84497   D    M 0.75900 0.18600 0.58500 0.15800 0.18657   0   0 bad  
1649-334-53149 1.94260 19.03 1.68514   A   MF 13.24000 0.68600 11.91400 0.82200 0.09129   0   0 good  
0857-071-52314 1.55740 18.54 1.55798   A   MC 0.78400 0.14600 0.96300 0.22100 -0.00024   0   0 good  
0454-305-51908 1.18320 18.81 0.47712   D    M 0.57800 0.12300 0.59500 0.16200 0.37197   0   0 unsure  
0627-155-52144 3.21380 19.22 1.97603   E    M 10.30500 0.85600 7.58900 1.02000 0.33440   0   0 bad  
1397-198-53119 0.80130 16.79 0.73477   B    M 4.85500 0.27600 0.93900 0.24800 0.03760   1   1 bad  
0525-319-52295 0.94800 19.17 0.45531   D    M 1.23600 0.25400 0.93000 0.28400 0.28357   0   0 bad  
0940-150-52670 2.89840 19.42 1.22756   D    M 2.25000 0.52900 1.43700 0.39000 0.50773   1   1 bad  
0933-636-52642 1.44050 19.41 1.38799   D    M 2.57600 0.56500 0.81400 0.21300 0.02174   0   0 bad  
1645-567-53172 1.28820 19.00 0.64086   C    M 1.14100 0.23400 1.45100 0.29200 0.32081   0   0 good  
0480-026-51989 1.59740 19.53 0.53095   D    M 2.09500 0.50200 1.51100 0.43000 0.48433   0   0 bad  
0770-607-52282 1.77520 18.97 1.47609   D    M 3.41200 0.22800 8.13600 0.46400 0.11355   0   0 bad  
0919-472-52409 2.18180 19.18 1.82264   D    M 3.71100 0.91100 3.11600 0.86800 0.11921   0   0 unsure  
0278-495-51900 1.43090 18.75 1.22895   D    M 1.27600 0.26600 1.19100 0.39800 0.08650   0   0 unsure  
1185-013-52642 1.98220 18.75 1.18645  C*    M 1.74800 0.43100 0.92200 0.30300 0.30077   0   0 unsure  
0779-298-52342 4.07950 18.96 1.36029   D    M 1.13000 0.24600 0.92700 0.27600 0.64485   0   0 bad  
1348-202-53084 3.02750 18.81 1.99179   D    M 2.50600 0.55200 1.96000 0.58100 0.28882   0   0 bad  
0640-275-52178 1.77220 17.08 0.54002  E*    M 1.83800 0.08100 0.48500 0.14700 0.52835   0   0 bad  
1301-418-52976 2.02410 18.92 1.63527   A   MC 4.66800 0.55500 2.58600 0.35600 0.13678   0   0 good  
1000-269-52643 1.92930 19.23 0.44835   C    M 1.56900 0.38300 1.71800 0.40600 0.60712   0   0 unsure  
1439-307-53003 2.97300 19.41 1.12203   D    M 2.19200 0.53000 1.62800 0.48500 0.55608   0   0 bad  
0732-296-52221 1.81610 19.14 1.38775   C    M 1.92000 0.44500 0.82400 0.15500 0.16353   0   0 unsure  
1268-324-52933 1.77590 19.50 1.35243   D    M 1.95400 0.45600 0.98000 0.32300 0.16403   0   0 bad  
