      0389-348-51795 1.7185   A 1  1.0 1
      0651-569-52141 0.3881   D 1  0.1 0
      0389-339-51795 0.5026   C 1  0.3 0
      0389-339-51795 0.5819   D 1  0.2 0
      0652-298-52138 0.9848   B 1  1.0 1
      0752-438-52251 0.6353   B 1  1.0 1
      0652-264-52138 1.2911   B 1  0.8 1
      0652-385-52138 0.5620   D 1  0.3 1
      0752-220-52251 1.7636   E 1  0.1 0
      0389-387-51795 1.4670   D 1  0.1 0
      0389-387-51795 1.5949   A 1  1.0 1
      0389-379-51795 0.4759   D 1  0.3 0
      0388-624-51793 0.8942   B 1  0.9 1
      0388-624-51793 1.7730   D 1  0.1 0
      0388-624-51793 0.7779   C 1  0.1 0
      0752-202-52251 1.8560   C 1  0.1 0
      0752-202-52251 0.4373   D 1  0.2 1
      0752-204-52251 0.8304   C 1  1.0 1
      0389-385-51795 0.5286   C 1  0.3 0
      0752-134-52251 0.4509   C 1  0.1 0
      0752-194-52251 1.4247   D 1  0.3 1
      0752-131-52251 1.7936   C 1  0.1 0
      0752-489-52251 1.1329  C* 1  0.3 0
      0389-412-51795 1.5347   A 1  1.0 1
      0652-363-52138 1.3838   A 1  1.0 1
      0652-437-52138 0.5802   D 1  0.0 0
      0652-375-52138 1.1118   D 1  0.4 0
      0652-375-52138 1.9825   C 1  0.1 0
      0652-375-52138 0.4698   E 1  0.0 0
      0652-375-52138 1.8385   A 1  1.0 1
      0652-375-52138 1.3620   A 1  1.0 1
      0389-439-51795 0.5819   C 1  0.1 0
      0389-211-51795 0.5700   C 1  0.1 0
      0389-211-51795 1.3921   D 1  0.0 0
      0652-212-52138 1.4108   A 1  0.9 1
      0389-479-51795 1.5496   A 1  1.0 1
      0389-479-51795 1.3913   C 1  0.8 1
      0389-239-51795 1.3889   A 1  1.0 0
      0389-239-51795 0.7925   E 1  0.1 0
      0389-239-51795 1.3297   D 1  0.1 1
      0389-465-51795 1.5608   A 1  1.0 1
      0389-465-51795 1.8172   C 1  0.1 0
      0752-531-52251 0.6734   D 1  0.1 0
      0752-531-52251 1.0694   B 1  1.0 1
      0652-184-52138 0.9244   C 1  0.4 1
      0652-403-52138 0.5573   D 1  0.0 0
      0652-403-52138 0.4556   C 1  0.8 1
      0652-403-52138 0.5087   D 1  0.1 0
      0389-535-51795 1.1664   A 1  1.0 1
      0652-479-52138 0.6355   D 1  0.4 1
      0652-479-52138 1.0367   B 1  0.7 1
      0389-178-51795 1.0160   A 1  1.0 1
      0389-178-51795 1.5901   A 1  1.0 1
      0652-172-52138 1.7960   B 1  0.1 0
      0652-163-52138 0.9398   C 1  0.5 1
